,ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
948993,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,EDN1,15.74,,19276553
948994,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,GPX1,15.74,,15824117
948995,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,HMOX1,15.74,,21318773
948996,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,INS,15.74,,19276553
948997,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,PINK1,15.74,,17010972|21366594|22043175|24374061|25149416|30734931
948998,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,PRKN,15.74,,12588799|15198987|15882845|16573651|17010972|19946270|22043175|22841634|23628791|24582596|25149416|25631236|28284907
948999,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,SOD1,15.74,,15824117|16353238|21318773
949000,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,SOD2,15.74,,17188257|18353766|25279756
949001,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,TH,15.74,,30236862
949002,Acetylcholine,D000109,51-84-3,Parkinson Disease,MESH:D010300,,TNF,15.74,,21318773
949659,Acetyl Coenzyme A,D000105,72-89-9,Parkinson Disease,MESH:D010300,,NQO1,3.42,,17188257
957456,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,ABCB1,49.98,,20558393
957457,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,ALDH2,49.98,,24491970
957458,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,BDNF,49.98,,19276553
957459,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,CYP2E1,49.98,,16510128
957460,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,DDIT4,49.98,,17005863
957461,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,DNM1L,49.98,,28215578
957462,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,EDN1,49.98,,19276553
957463,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,GDNF,49.98,,11031079|16324109
957464,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,GFAP,49.98,,19276553
957465,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,GPX1,49.98,,15824117
957466,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,GSTA4,49.98,,16510128
957467,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,GSTM1,49.98,,17449559
957468,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,GSTP1,49.98,,17190945|23721876
957469,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,HGF,49.98,,16791285
957470,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,HMOX1,49.98,,21318773
957471,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,HSPA1A,49.98,,15585408
957472,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,IGF1R,49.98,,19276553
957473,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,IL6,49.98,,21318773
957474,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,INS,49.98,,19276553
957475,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,INSR,49.98,,19276553
957476,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,LRRK2,49.98,,17388990|19915575|19915576|20205471|22043175|23017109|23472874|23628791|25149416|25475535|25631236
957477,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,MAP2,49.98,,30236862
957478,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,MAP3K5,49.98,,21815648
957479,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,MAPT,49.98,,19915575|20711177
957480,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,NGF,49.98,,19276553
957481,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,NQO1,49.98,,17188257
957482,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,PARK7,49.98,,15784737|17010972|20423725|20800516|22043175|22898350|23037695|23792957|25149416
957483,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,PINK1,49.98,,17010972|21366594|22043175|24374061|25149416|30734931
957484,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,PPARGC1A,49.98,,30236862
957485,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,PRKN,49.98,,12588799|15198987|15882845|16573651|17010972|19946270|22043175|22841634|23628791|24582596|25149416|25631236|28284907
957486,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,SNCA,49.98,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
957487,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,SOD1,49.98,,15824117|16353238|21318773
957488,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,SOD2,49.98,,17188257|18353766|25279756
957489,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,TALDO1,49.98,,23233872
957490,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,TH,49.98,,30236862
957491,Acetylcysteine,D000111,616-91-1,Parkinson Disease,MESH:D010300,,TNF,49.98,,21318773
960178,Acetylglucosamine,D000117,7512-17-6,Parkinson Disease,MESH:D010300,,EDN1,16.66,,19276553
960179,Acetylglucosamine,D000117,7512-17-6,Parkinson Disease,MESH:D010300,,ENO2,16.66,,30236862
960180,Acetylglucosamine,D000117,7512-17-6,Parkinson Disease,MESH:D010300,,GPX1,16.66,,15824117
960181,Acetylglucosamine,D000117,7512-17-6,Parkinson Disease,MESH:D010300,,GSTA4,16.66,,16510128
960182,Acetylglucosamine,D000117,7512-17-6,Parkinson Disease,MESH:D010300,,SOD2,16.66,,17188257|18353766|25279756
960183,Acetylglucosamine,D000117,7512-17-6,Parkinson Disease,MESH:D010300,,TNF,16.66,,21318773
960840,acetyl-leucyl-glutamyl-histidyl-aspartal,C420218,,Parkinson Disease,MESH:D010300,,HMOX1,3.63,,21318773
961450,acetylleucyl-leucyl-norleucinal,C063261,110044-82-1,Parkinson Disease,MESH:D010300,,DNM1L,3.57,,28215578
962868,acetyl methyl tetramethyl tetralin,C033116,21145-77-7,Parkinson Disease,MESH:D010300,,IL6,4.44,,21318773
962869,acetyl methyl tetramethyl tetralin,C033116,21145-77-7,Parkinson Disease,MESH:D010300,,TNF,4.44,,21318773
963982,Acetylmuramyl-Alanyl-Isoglutamine,D000119,53678-77-6,Parkinson Disease,MESH:D010300,,IL6,5.25,,21318773
963983,Acetylmuramyl-Alanyl-Isoglutamine,D000119,53678-77-6,Parkinson Disease,MESH:D010300,,TNF,5.25,,21318773
964260,acetylsalicylic acid lysinate,C010395,,Parkinson Disease,MESH:D010300,,NOS1,3.96,,26383258
965478,Acids,D000143,,Parkinson Disease,MESH:D010300,,IL6,2.59,,21318773
966414,acipimox,C027696,51037-30-0,Parkinson Disease,MESH:D010300,,INS,7.85,,19276553
966415,acipimox,C027696,51037-30-0,Parkinson Disease,MESH:D010300,,PPARGC1A,7.85,,30236862
966416,acipimox,C027696,51037-30-0,Parkinson Disease,MESH:D010300,,SOD2,7.85,,17188257|18353766|25279756
967257,Aclarubicin,D015250,57576-44-0,Parkinson Disease,MESH:D010300,,GSTP1,6.59,,17190945|23721876
967258,Aclarubicin,D015250,57576-44-0,Parkinson Disease,MESH:D010300,,SOD1,6.59,,15824117|16353238|21318773
968837,Aconitine,D000157,302-27-2,Parkinson Disease,MESH:D010300,,ABCB1,2.96,,20558393
968838,Aconitine,D000157,302-27-2,Parkinson Disease,MESH:D010300,,AIF1,2.96,,19276553
968839,Aconitine,D000157,302-27-2,Parkinson Disease,MESH:D010300,,CYP2D6,2.96,,14991823|15174030
968840,Aconitine,D000157,302-27-2,Parkinson Disease,MESH:D010300,,DNM1L,2.96,,28215578
969344,Acridine Orange,D000165,494-38-2,Parkinson Disease,MESH:D010300,,GSTP1,3.99,,17190945|23721876
969662,Acriflavine,D000167,8048-52-0,Parkinson Disease,MESH:D010300,,PPARGC1A,4.03,,30236862
976457,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,marker/mechanism,,,,17690948
976458,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,ALDH2,12.03,,24491970
976459,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,ATP13A2,12.03,,23628791|25149416
976460,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,BDNF,12.03,,19276553
976461,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,CP,12.03,,19159062|25758665
976462,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,DNM1L,12.03,,28215578
976463,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,EDN1,12.03,,19276553
976464,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,GFAP,12.03,,19276553
976465,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,GSTA4,12.03,,16510128
976466,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,GSTP1,12.03,,17190945|23721876
976467,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,HMOX1,12.03,,21318773
976468,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,HSPA9,12.03,,16565515
976469,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,IL6,12.03,,21318773
976470,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,INS,12.03,,19276553
976471,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,MAP3K5,12.03,,21815648
976472,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,MAPT,12.03,,19915575|20711177
976473,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,MTA1,12.03,,27044752
976474,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,NQO1,12.03,,17188257
976475,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,PPARGC1A,12.03,,30236862
976476,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,RPL6,12.03,,18353766
976477,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,SNCA,12.03,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
976478,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,SOD2,12.03,,17188257|18353766|25279756
976479,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,TMEM230,12.03,,27270108
976480,Acrolein,D000171,107-02-8,Parkinson Disease,MESH:D010300,,TNF,12.03,,21318773
989422,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,ABCB1,7.83,,20558393
989423,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,ADARB2,7.83,,25475535
989424,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,ALDH2,7.83,,24491970
989425,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,ATP13A2,7.83,,23628791|25149416
989426,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,BDNF,7.83,,19276553
989427,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,BST1,7.83,,19915576
989428,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,COL19A1,7.83,,25475535
989429,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,CP,7.83,,19159062|25758665
989430,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,CYP2E1,7.83,,16510128
989431,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,DDIT4,7.83,,17005863
989432,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,DRD1,7.83,,8558425
989433,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,ENO2,7.83,,30236862
989434,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,FGB,7.83,,23233872
989435,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,GFAP,7.83,,19276553
989436,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,GPX1,7.83,,15824117
989437,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,GSTA4,7.83,,16510128
989438,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,GSTM1,7.83,,17449559
989439,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,GSTP1,7.83,,17190945|23721876
989440,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,HFE,7.83,,16824219
989441,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,HMOX1,7.83,,21318773
989442,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,HSPA1A,7.83,,15585408
989443,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,HSPA9,7.83,,16565515
989444,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,IGF2,7.83,,19276553
989445,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,IGF2R,7.83,,19276553
989446,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,IL6,7.83,,21318773
989447,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,KCNJ4,7.83,,18619942
989448,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,MAG,7.83,,19276553
989449,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,MAOB,7.83,,21318773
989450,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,MAP2,7.83,,30236862
989451,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,MAPT,7.83,,19915575|20711177
989452,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,MTA1,7.83,,27044752
989453,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,NGF,7.83,,19276553
989454,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,NOS1,7.83,,26383258
989455,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,NQO1,7.83,,17188257
989456,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,PINK1,7.83,,17010972|21366594|22043175|24374061|25149416|30734931
989457,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,PPARGC1A,7.83,,30236862
989458,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,SLC18A2,7.83,,16112329|34774656
989459,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,SLC6A3,7.83,,16112329|16963468|19590691|9763484
989460,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,SOD1,7.83,,15824117|16353238|21318773
989461,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,SOD2,7.83,,17188257|18353766|25279756
989462,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,TH,7.83,,30236862
989463,Acrylamide,D020106,79-06-1,Parkinson Disease,MESH:D010300,,TNF,7.83,,21318773
992654,acrylic acid,C036658,79-10-7,Parkinson Disease,MESH:D010300,,IL6,7.37,,21318773
992655,acrylic acid,C036658,79-10-7,Parkinson Disease,MESH:D010300,,TNF,7.37,,21318773
992903,acrylodan,C038518,86636-92-2,Parkinson Disease,MESH:D010300,,GSTP1,4.08,,17190945|23721876
994257,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,CYP2E1,22.16,,16510128
994258,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,HMOX1,22.16,,21318773
994259,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,IL6,22.16,,21318773
994260,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,NQO1,22.16,,17188257
994261,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,SOD1,22.16,,15824117|16353238|21318773
994262,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,SOD2,22.16,,17188257|18353766|25279756
994263,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,TH,22.16,,30236862
994264,Acrylonitrile,D000181,107-13-1,Parkinson Disease,MESH:D010300,,TNF,22.16,,21318773
995271,actein,C096064,18642-44-9,Parkinson Disease,MESH:D010300,,NQO1,4.32,,17188257
995272,actein,C096064,18642-44-9,Parkinson Disease,MESH:D010300,,SOD2,4.32,,17188257|18353766|25279756
996833,acteoside,C058956,61276-17-3,Parkinson Disease,MESH:D010300,,CYP2E1,13.36,,16510128
996834,acteoside,C058956,61276-17-3,Parkinson Disease,MESH:D010300,,HMOX1,13.36,,21318773
996835,acteoside,C058956,61276-17-3,Parkinson Disease,MESH:D010300,,IL6,13.36,,21318773
996836,acteoside,C058956,61276-17-3,Parkinson Disease,MESH:D010300,,SOD2,13.36,,17188257|18353766|25279756
996837,acteoside,C058956,61276-17-3,Parkinson Disease,MESH:D010300,,TNF,13.36,,21318773
998123,Active Hexose Correlated Compound,C499366,,Parkinson Disease,MESH:D010300,,CYP2D6,7.91,,14991823|15174030
998124,Active Hexose Correlated Compound,C499366,,Parkinson Disease,MESH:D010300,,IL6,7.91,,21318773
998125,Active Hexose Correlated Compound,C499366,,Parkinson Disease,MESH:D010300,,TNF,7.91,,21318773
998977,Acyclovir,D000212,59277-89-3,Parkinson Disease,MESH:D010300,,TNF,2.14,,21318773
999175,acylcarnitine,C116917,,Parkinson Disease,MESH:D010300,,CYP2E1,3.78,,16510128
999622,acyline,C109238,,Parkinson Disease,MESH:D010300,,GSTM1,3.1,,17449559
1001110,adefovir dipivoxil,C106812,142340-99-6,Parkinson Disease,MESH:D010300,,HMOX1,3.53,,21318773
1001111,adefovir dipivoxil,C106812,142340-99-6,Parkinson Disease,MESH:D010300,,NQO1,3.53,,17188257
1001937,adelmidrol,C552602,,Parkinson Disease,MESH:D010300,,TNF,2.83,,21318773
1003311,Adenine,D000225,73-24-5,Parkinson Disease,MESH:D010300,,DDIT4,4.76,,17005863
1003312,Adenine,D000225,73-24-5,Parkinson Disease,MESH:D010300,,IL6,4.76,,21318773
1003313,Adenine,D000225,73-24-5,Parkinson Disease,MESH:D010300,,TNF,4.76,,21318773
1004838,Adenosine,D000241,58-61-7,Parkinson Disease,MESH:D010300,,PPARGC1A,3.77,,30236862
1004839,Adenosine,D000241,58-61-7,Parkinson Disease,MESH:D010300,,TNF,3.77,,21318773
1005605,"adenosine-3',5'-cyclic phosphorothioate",C016957,23645-17-2,Parkinson Disease,MESH:D010300,,TNF,2.89,,21318773
1006154,Adenosine-5'-(N-ethylcarboxamide),D019830,35920-39-9,Parkinson Disease,MESH:D010300,,TNF,2.66,,21318773
1007256,Adenosine Diphosphate,D000244,58-64-0,Parkinson Disease,MESH:D010300,,FGB,7.07,,23233872
1007257,Adenosine Diphosphate,D000244,58-64-0,Parkinson Disease,MESH:D010300,,IL6,7.07,,21318773
1007258,Adenosine Diphosphate,D000244,58-64-0,Parkinson Disease,MESH:D010300,,TALDO1,7.07,,23233872
1007515,Adenosine Diphosphate Ribose,D000246,20762-30-5,Parkinson Disease,MESH:D010300,,NOS1,9.32,,26383258
1007516,Adenosine Diphosphate Ribose,D000246,20762-30-5,Parkinson Disease,MESH:D010300,,TRPM2,9.32,,27957685
1007589,Adenosine Monophosphate,D000249,61-19-8,Parkinson Disease,MESH:D010300,,PPARGC1A,3.67,,30236862
1007613,adenosine-N(6)-methyl-propylthioether-N-pyridoxamine,C072610,125162-97-2,Parkinson Disease,MESH:D010300,,TH,4.77,,30236862
1011104,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,ABCB1,28.58,,20558393
1011105,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,FBP1,28.58,,18353766
1011106,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,GSTP1,28.58,,17190945|23721876
1011107,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,HMOX1,28.58,,21318773
1011108,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,IL6,28.58,,21318773
1011109,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,INS,28.58,,19276553
1011110,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,LRRK2,28.58,,17388990|19915575|19915576|20205471|22043175|23017109|23472874|23628791|25149416|25475535|25631236
1011111,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,MAPT,28.58,,19915575|20711177
1011112,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,NGF,28.58,,19276553
1011113,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,PINK1,28.58,,17010972|21366594|22043175|24374061|25149416|30734931
1011114,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,SNCA,28.58,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
1011115,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,SOD1,28.58,,15824117|16353238|21318773
1011116,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,SOD2,28.58,,17188257|18353766|25279756
1011117,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,TALDO1,28.58,,23233872
1011118,Adenosine Triphosphate,D000255,56-65-5,Parkinson Disease,MESH:D010300,,TNF,28.58,,21318773
1012375,Adenylate Cyclase Toxin,D037361,,Parkinson Disease,MESH:D010300,,IL6,7.57,,21318773
1012376,Adenylate Cyclase Toxin,D037361,,Parkinson Disease,MESH:D010300,,TNF,7.57,,21318773
1013607,"Adjuvants, Immunologic",D000276,,Parkinson Disease,MESH:D010300,,FCER2,8.25,,25475535
1013608,"Adjuvants, Immunologic",D000276,,Parkinson Disease,MESH:D010300,,IL6,8.25,,21318773
1013609,"Adjuvants, Immunologic",D000276,,Parkinson Disease,MESH:D010300,,TNF,8.25,,21318773
1014327,Adrenal Cortex Hormones,D000305,,Parkinson Disease,MESH:D010300,,EDN1,2.7,,19276553
1014991,Adrenocorticotropic Hormone,D000324,9002-60-2,Parkinson Disease,MESH:D010300,,INS,3.24,,19276553
1015673,adrenocorticotropin zinc,C006418,53468-06-7,Parkinson Disease,MESH:D010300,,COL19A1,11.4,,25475535
1015674,adrenocorticotropin zinc,C006418,53468-06-7,Parkinson Disease,MESH:D010300,,CP,11.4,,19159062|25758665
1015675,adrenocorticotropin zinc,C006418,53468-06-7,Parkinson Disease,MESH:D010300,,DDIT4,11.4,,17005863
1015676,adrenocorticotropin zinc,C006418,53468-06-7,Parkinson Disease,MESH:D010300,,FGB,11.4,,23233872
1015677,adrenocorticotropin zinc,C006418,53468-06-7,Parkinson Disease,MESH:D010300,,GPX1,11.4,,15824117
1015678,adrenocorticotropin zinc,C006418,53468-06-7,Parkinson Disease,MESH:D010300,,SOD2,11.4,,17188257|18353766|25279756
1015862,adrogolide hydrochloride,C095428,,Parkinson Disease,MESH:D010300,therapeutic,,,,11176963
1015863,adrogolide hydrochloride,C095428,,Parkinson Disease,MESH:D010300,,DRD1,4.52,,8558425
1016151,aegeline,C560978,,Parkinson Disease,MESH:D010300,,NQO1,3.1,,17188257
1016717,AEOL 10150,C472668,,Parkinson Disease,MESH:D010300,,IL6,7.03,,21318773
1016718,AEOL 10150,C472668,,Parkinson Disease,MESH:D010300,,TNF,7.03,,21318773
1020103,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,CYP2E1,24.37,,16510128
1020104,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,DRD2,24.37,,8558425
1020105,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,GPX1,24.37,,15824117
1020106,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,GSTA4,24.37,,16510128
1020107,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,HMOX1,24.37,,21318773
1020108,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,HSPA1A,24.37,,15585408
1020109,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,IL6,24.37,,21318773
1020110,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,NQO1,24.37,,17188257
1020111,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,SLC6A3,24.37,,16112329|16963468|19590691|9763484
1020112,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,SOD1,24.37,,15824117|16353238|21318773
1020113,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,SOD2,24.37,,17188257|18353766|25279756
1020114,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,TH,24.37,,30236862
1020115,Aerosols,D000336,,Parkinson Disease,MESH:D010300,,TNF,24.37,,21318773
1024226,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,ABCB1,7.81,,20558393
1024227,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,CYP2D6,7.81,,14991823|15174030
1024228,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,DDIT4,7.81,,17005863
1024229,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,DRD1,7.81,,8558425
1024230,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,EDN1,7.81,,19276553
1024231,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,IGF1R,7.81,,19276553
1024232,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,PPARGC1A,7.81,,30236862
1024233,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,RPL6,7.81,,18353766
1024234,afimoxifene,C016601,68392-35-8,Parkinson Disease,MESH:D010300,,TNF,7.81,,21318773
1044792,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,ABCB1,6.53,,20558393
1044793,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,ADARB2,6.53,,25475535
1044794,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,AIF1,6.53,,19276553
1044795,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,ALDH2,6.53,,24491970
1044796,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,ATP13A2,6.53,,23628791|25149416
1044797,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,BAG5,6.53,,28348719
1044798,Aflatoxin B1,D016604,1162-65-8,Parkinson Disease,MESH:D010300,,BDNF,6.53,,19276553
